HCPCS,Mod,Description,Billing Unit,Managed Rental Rate,Managed Purchase Rate,Commercial Rental Rate,Commercial Purchase Rate,Comments
E2221,NU,"Manual wheelchair accessory, solid caster tire each",Each,,27.75,,Retail less 36%,
E2222,NU,"Manual wheelchair accessory, solid caster integrated whl",Each,,23.15,,Retail less 36%,
E2223,NU,"Manual wheelchair accessory, replacement valve",Each,,Retail less 36%,,Retail less 36%,
E2224,NU,Propulsion whl excludes tire,Each,,98.45,,Retail less 36%,
E2225,NU,Caster wheel excludes tire,Each,,19.4,,Retail less 36%,
E2226,NU,Caster fork replacement only,Each,,41,,Retail less 36%,
E2228,NU,"Manual wheelchair accessory, wheelchair brake",Each,,865.9,,Retail less 36%,
E2230,NU,"Manual wheelchair accessory, manual standing system",Each,,Retail less 36%,,Retail less 36%,
E2231,NU,"Manual wheelchair accessory, solid seat support base",Each,,144.9,,Retail less 36%,
E2291-E2295,NU,Pediatric wheelchair accessories,Each,,Retail less 36%,,Retail less 36%,
E2300,NU,"Wheelchair accessory, power seat elevation system",Each,,Retail less 36%,,Retail less 36%,
E2301,,"Wheelchair accessory, power standing system",,,Retail less 36%,,Retail less 36%,
E2310,NU,"PWC accessory, electronic connection between controller and 1 power seating
system motor",Each,,1122.7,,1122.7,
E2311,NU,"PWC accessory, electronic connection between controller and 2 or more power seat system motors",Each,,2273.3,,2273.3,
E2312,NU,"Power wheelchair accessory, mini-prop remote joystick",Each,,Retail less 36%,,Retail less 36%,
E2313,NU,"Wheelchair accessory, harness, expand control",Each,,343,,343,
E2321,NU,"Power wheelchair accessory, hand control interface, remote joystick",Each,,Retail less 36%,,Retail less 36%,
E2322,NU,"Power wheelchair accessory, hand control interface, multiple mechanical switches",Each,,Retail less 36%,,Retail less 36%,
E2323,NU,"Power wheelchair accessory, special joystick handle",Each,,66.4,,Retail less 36%,
E2324,NU,"Power wheelchair accessory, chin cup interface",Each,,42.05,,Retail less 36%,
E2325,NU,"Power wheelchair accessory, sip and puff interface",Each,,Retail less 36%,,Retail less 36%,
E2326,NU,"Power wheelchair accessory, breath tube kit for sip and puff interface",Each,,Retail less 36%,,Retail less 36%,
E2327,NU,"Power wheelchair accessory, head control interface, mechanical",Each,,Retail less 36%,,Retail less 36%,
E2328,NU,"Power wheelchair accessory, head control or extremity control interface,",Each,,Retail less 36%,,Retail less 36%,
E2329,NU,"Power wheelchair accessory, head control interface, contact switch",Each,,Retail less 36%,,Retail less 36%,
