HCPCS,Mod 1,Mod 2,Medicaid
L1320,,,Prevailing State Rates
L1499,,,Prevailing State Rates
L1620,,,$124.24
L1650,,,Prevailing State Rates
L1660,,,$163.23
L1686,,,Prevailing State Rates
L1812,,,$81.56
L1820,,,$71.17
L1821,,,$162.52
L1830,,,$79.99
L1832,,,$535.10
L1833,,,$400.27
L1836,,,$99.67
L1843,,,$824.34
L1844,,,Prevailing State Rates
L1845,,,$747.11
L1846,,,"$1,125.30"
L1850,,,Prevailing State Rates
L1851,,,$692.39
L1852,,,$621.36
L1902,,,$86.15
L1904,,,Prevailing State Rates
L1906,,,Prevailing State Rates
L1907,,,$516.97
L1930,,,$188.69
L1932,,,Prevailing State Rates
L1940,,,$467.60
L1945,,,Prevailing State Rates
L1950,,,Prevailing State Rates
L1951,,,$771.58
L1960,,,$487.86
L1970,,,$549.02
L1971,,,Prevailing State Rates
L1980,,,Prevailing State Rates
L2034,,,Prevailing State Rates
L2036,,,"$2,106.61"
L2050,,,$425.22
L2108,,,"$1,054.73"
L2112,,,Prevailing State Rates
L2114,,,Prevailing State Rates
L2200,,,$55.79
L2210,,,$62.02
L2220,,,$85.18
L2232,,,Prevailing State Rates
L2250,,,Prevailing State Rates
L2270,,,$63.02
L2275,,,$107.68
L2280,,,$399.15
L2300,,,$295.46
L2320,,,$231.35
L2330,,,$408.88
L2340,,,$485.74
L2350,,,Prevailing State Rates
L2360,,,$60.71
L2370,,,$241.43
L2385,,,Prevailing State Rates
L2387,,,Prevailing State Rates
L2390,,,Prevailing State Rates
L2395,,,Prevailing State Rates
L2397,,,$116.31
L2405,,,$80.10
L2415,,,$111.58
L2425,,,$131.69
L2430,,,$131.69
L2600,,,$209.39
L2620,,,Prevailing State Rates
L2624,,,Prevailing State Rates
L2755,,,$120.06
L2760,,,$54.62
L2768,,,$119.69
L2780,,,$101.66
L2785,,,Prevailing State Rates
L2795,,,Prevailing State Rates
L2800,,,Prevailing State Rates
L2810,,,$68.74
L2820,,,$76.43
L2830,,,$82.69
L2840,,,$38.46
L2850,,,Prevailing State Rates
L2999,,,Cost Invoice
L3000,,,Prevailing State Rates
L3003,,,Prevailing State Rates
L3010,,,Prevailing State Rates
L3020,,,$165.18
L3030,,,Prevailing State Rates
L3031,,,Prevailing State Rates
L3040,,,Prevailing State Rates
L3050,,,Prevailing State Rates
L3060,,,Prevailing State Rates
L3100,,,Prevailing State Rates
L3150,,,$74.78
L3170,,,Prevailing State Rates
L3202,,,Prevailing State Rates
L3203,,,Prevailing State Rates
L3206,,,Prevailing State Rates
L3207,,,Prevailing State Rates
L3260,,,$117.66
L3300,,,$47.90
L3310,,,$74.78
L3332,,,$67.75
L3350,,,Prevailing State Rates
L3540,,,$46.75
L3650,,,$54.45
L3660,,,$113.31
L3670,,,$101.24
L3675,,,$187.82
L3702,,,Prevailing State Rates
L3710,,,Prevailing State Rates
L3760,,,$418.13
L3761,,,Prevailing State Rates
L3762,,,Prevailing State Rates
L3766,,,Prevailing State Rates
L3806,,,Prevailing State Rates
L3807,,,$120.48
L3808,,,$301.30
L3809,,,$117.20
L3906,,,$356.92
L3908,,,$62.35
L3913,,,Prevailing State Rates
L3915,,,$444.46
L3916,,,Prevailing State Rates
L3918,,,Prevailing State Rates
L3923,,,Prevailing State Rates
L3924,,,$82.34
L3925,,,Prevailing State Rates
L3933,,,Prevailing State Rates
L3960,,,Prevailing State Rates
L3980,,,$266.26
L3982,,,Prevailing State Rates
L3984,,,$309.41
L3995,,,Prevailing State Rates
L3999,,,Cost Invoice
L4002,,,$4.11
L4205,,,$21.25
L4210,,,Prevailing State Rates
L4350,,,$86.63
L4360,,,$324.94
L4361,,,$182.15
L4386,,,Prevailing State Rates
L4387,,,$145.65
L4396,,,$151.58
L4397,,,$151.58
L4398,,,Prevailing State Rates
L4631,,,Prevailing State Rates
L5000,,,$440.62
L5020,,,"$2,117.09"
L5050,,,Prevailing State Rates
L5100,,,Prevailing State Rates
L5150,,,Prevailing State Rates
L5301,,,"$1,648.25"
L5321,,,"$3,855.38"
L5331,,,Prevailing State Rates
L5450,,,Prevailing State Rates
L5530,,,"$1,881.78"
L5540,,,"$1,929.45"
L5585,,,Prevailing State Rates
L5590,,,"$2,203.78"
L5611,,,Prevailing State Rates
L5618,,,Prevailing State Rates
L5620,,,$258.67
L5622,,,Prevailing State Rates
L5624,,,$328.46
L5626,,,Prevailing State Rates
L5629,,,$277.13
L5630,,,Prevailing State Rates
L5631,,,$383.16
L5632,,,Prevailing State Rates
L5636,,,Prevailing State Rates
L5637,,,$259.62
L5643,,,"$1,675.43"
L5645,,,$518.87
L5646,,,Prevailing State Rates
L5647,,,$693.69
L5649,,,"$1,792.79"
L5650,,,$500.47
L5651,,,"$1,047.26"
L5652,,,$380.20
L5654,,,Prevailing State Rates
L5655,,,Prevailing State Rates
L5656,,,Prevailing State Rates
L5658,,,Prevailing State Rates
L5665,,,Prevailing State Rates
L5668,,,Prevailing State Rates
L5670,,,$258.30
L5671,,,$578.37
L5673,,,$478.28
L5676,,,Prevailing State Rates
L5678,,,Prevailing State Rates
L5679,,,$520.54
L5681,,,"$1,210.86"
L5682,,,Prevailing State Rates
L5683,,,Prevailing State Rates
L5685,,,$109.65
L5686,,,Prevailing State Rates
L5688,,,Prevailing State Rates
L5692,,,$146.23
L5694,,,Prevailing State Rates
L5700,,,"$2,100.00"
L5701,,,"$3,869.49"
L5704,,,$531.77
L5705,,,Prevailing State Rates
L5706,,,$930.40
L5707,,,Prevailing State Rates
L5781,,,Prevailing State Rates
L5783,,,"$3,088.30"
L5785,,,$581.98
L5812,,,Prevailing State Rates
L5814,,,Prevailing State Rates
L5828,,,"$3,389.41"
L5845,,,"$1,534.43"
L5848,,,"$1,267.04"
L5850,,,$111.55
L5856,,,"$28,285.52"
L5910,,,$315.84
L5920,,,$462.71
L5925,,,Prevailing State Rates
L5926,,,Prevailing State Rates
L5940,,,$543.85
L5950,,,$781.74
L5960,,,Prevailing State Rates
L5962,,,Prevailing State Rates
L5964,,,Prevailing State Rates
L5968,,,"$3,110.98"
L5971,,,Prevailing State Rates
L5972,,,$341.85
L5973,,,Prevailing State Rates
L5974,,,Prevailing State Rates
L5975,,,Prevailing State Rates
L5980,,,Prevailing State Rates
L5981,,,"$2,487.95"
L5984,,,$629.97
L5986,,,$666.77
L5987,,,"$6,158.50"
L5988,,,Prevailing State Rates
L5990,,,"$1,670.05"
L5999,,,Cost Invoice
L6110,,,Prevailing State Rates
L6200,,,Prevailing State Rates
L6205,,,Prevailing State Rates
L6605,,,Prevailing State Rates
L6615,,,Prevailing State Rates
L6620,,,Prevailing State Rates
L6686,,,Prevailing State Rates
L6688,,,Prevailing State Rates
L6692,,,Prevailing State Rates
L6698,,,Prevailing State Rates
L6704,,,Prevailing State Rates
L6721,,,Prevailing State Rates
L6805,,,Prevailing State Rates
L6890,,,Prevailing State Rates
L7368,,,$594.67
L7400,,,Prevailing State Rates
L7401,,,Prevailing State Rates
L7403,,,Prevailing State Rates
L7404,,,Prevailing State Rates
L7499,,,Cost Invoice
L7510,,,$218.89
L7520,,,$38.63
L7700,,,$154.92
L8000,,,$35.99
L8001,,,Prevailing State Rates
L8002,,,Prevailing State Rates
L8010,,,Prevailing State Rates
L8015,,,$57.31
L8020,,,$225.91
L8030,,,$275.11
L8031,,,Prevailing State Rates
L8032,,,Prevailing State Rates
L8035,,,Prevailing State Rates
L8400,,,$16.19
L8410,,,$23.08
L8417,,,$64.38
L8420,,,$17.49
L8430,,,$19.98
L8440,,,$36.47
L8460,,,$76.10
L8470,,,$5.82
L8480,,,$10.70
L8500,,,Prevailing State Rates
L8501,,,$107.61
L8615,,,Prevailing State Rates
L8616,,,Prevailing State Rates
L8618,,,Prevailing State Rates
L8619,,,"$7,562.13"
L8623,,,Prevailing State Rates
L8624,,,$148.46
L8629,,,$164.82
L8681,,,Prevailing State Rates
L8691,,,"$1,888.94"
L8692,,,"$2,045.20"
