HCPCS,Mod 1,Mod 2,Medicare
L5683,,,Prevailing State Rates
L5685,,,$117.90
L5686,,,$87.99
L5688,,,Prevailing State Rates
L5692,,,$215.26
L5694,,,Prevailing State Rates
L5700,,,"$3,423.87"
L5701,,,"$4,160.74"
L5704,,,$571.80
L5705,,,Prevailing State Rates
L5706,,,Prevailing State Rates
L5707,,,Prevailing State Rates
L5781,,,Prevailing State Rates
L5783,,,"$3,551.55"
L5785,,,$856.68
L5812,,,$871.22
L5814,,,"$3,418.73"
L5828,,,"$3,389.41"
L5845,,,"$1,649.93"
L5848,,,"$1,267.04"
L5850,,,$119.95
L5856,,,"$18,509.00"
L5910,,,$339.61
L5920,,,$497.54
L5925,,,$408.96
L5926,,,Prevailing State Rates
L5940,,,$584.79
L5950,,,$840.58
L5960,,,Prevailing State Rates
L5962,,,"$1,081.75"
L5964,,,"$1,557.27"
L5968,,,"$3,345.14"
L5971,,,Prevailing State Rates
L5972,,,$367.58
L5973,,,Prevailing State Rates
L5974,,,$428.87
L5975,,,$628.16
L5980,,,Prevailing State Rates
L5981,,,"$2,365.71"
L5984,,,$677.39
L5986,,,$716.96
L5987,,,Prevailing State Rates
L5988,,,Prevailing State Rates
L5990,,,Prevailing State Rates
L5999,,,Cost Invoice
L6110,,,Prevailing State Rates
L6200,,,Prevailing State Rates
L6205,,,Prevailing State Rates
L6605,,,Prevailing State Rates
L6615,,,Prevailing State Rates
L6620,,,Prevailing State Rates
L6686,,,Prevailing State Rates
L6688,,,Prevailing State Rates
L6692,,,Prevailing State Rates
L6698,,,Prevailing State Rates
L6704,,,Prevailing State Rates
L6721,,,Prevailing State Rates
L6805,,,Prevailing State Rates
L6890,,,Prevailing State Rates
L7368,,,Prevailing State Rates
L7400,,,Prevailing State Rates
L7401,,,Prevailing State Rates
L7403,,,Prevailing State Rates
L7404,,,Prevailing State Rates
L7499,,,Cost Invoice
L7510,,,$235.37
L7520,,,$33.77
L7700,,,Prevailing State Rates
L8000,,,$38.70
L8001,,,$169.98
L8002,,,Prevailing State Rates
L8010,,,Cost Invoice
L8015,,,$84.36
L8020,,,$225.91
L8030,,,$295.82
L8031,,,$435.45
L8032,,,$55.13
L8035,,,Prevailing State Rates
L8400,,,$17.41
L8410,,,Prevailing State Rates
L8417,,,$69.23
L8420,,,$18.81
L8430,,,$21.48
L8440,,,$39.22
L8460,,,$81.83
L8470,,,$6.26
L8480,,,$11.51
L8500,,,Prevailing State Rates
L8501,,,$107.61
L8615,,,Prevailing State Rates
