HCPCS,Mod 1,Mod 2,ASO/Commercial
L2232,,,117.04
L2250,,,416.98
L2270,,,63.02
L2275,,,118.67
L2280,,,399.15
L2300,,,Prevailing State Rates
L2320,,,Prevailing State Rates
L2330,,,408.88
L2340,,,485.74
L2350,,,884.79
L2360,,,Prevailing State Rates
L2370,,,Prevailing State Rates
L2385,,,Prevailing State Rates
L2387,,,178.74
L2390,,,Prevailing State Rates
L2395,,,Prevailing State Rates
L2397,,,116.31
L2405,,,Prevailing State Rates
L2415,,,164.25
L2425,,,Prevailing State Rates
L2430,,,Prevailing State Rates
L2600,,,308.22
L2620,,,276.82
L2624,,,Prevailing State Rates
L2755,,,120.06
L2760,,,80.41
L2768,,,119.69
L2780,,,116.91
L2785,,,Prevailing State Rates
L2795,,,Prevailing State Rates
L2800,,,107.62
L2810,,,68.74
L2820,,,76.43
L2830,,,82.69
L2840,,,38.46
L2850,,,Prevailing State Rates
L2999,,,Cost Invoice
L3000,,,236.35
L3003,,,235.68
L3010,,,160.11
L3020,,,165.18
L3030,,,Prevailing State Rates
L3031,,,149.67
L3040,,,43.23
L3050,,,43.23
L3060,,,67.75
L3100,,,58.47
L3150,,,74.78
L3170,,,Prevailing State Rates
L3202,,,52.95
L3203,,,58.84
L3206,,,47.84
L3207,,,67.67
L3260,,,26.21
L3300,,,70.52
L3310,,,74.78
L3332,,,67.75
L3350,,,21.05
L3540,,,Prevailing State Rates
L3650,,,54.45
L3660,,,113.31
L3670,,,101.24
L3675,,,Prevailing State Rates
L3702,,,Prevailing State Rates
L3710,,,Prevailing State Rates
L3760,,,378.93
L3761,,,535.2
L3762,,,89.9
L3766,,,1671.16
L3806,,,379.82
L3807,,,209.08
L3808,,,301.3
L3809,,,171.23
L3906,,,Prevailing State Rates
L3908,,,62.35
L3913,,,Prevailing State Rates
L3915,,,Prevailing State Rates
L3916,,,Prevailing State Rates
L3918,,,Prevailing State Rates
L3923,,,82.34
L3924,,,82.34
L3925,,,78.67
L3933,,,Prevailing State Rates
L3960,,,711.74
L3980,,,266.26
L3982,,,321.52
L3984,,,309.41
L3995,,,31.26
L3999,,,Cost Invoice
L4002,,,Prevailing State Rates
L4205,,,21.25
L4210,,,235.37
L4350,,,86.63
L4360,,,324.94
L4361,,,254.48
L4386,,,145.65
L4387,,,145.65
L4396,,,Prevailing State Rates
L4397,,,151.58
L4398,,,69.8
L4631,,,1405.45
L5000,,,473.78
L5020,,,Prevailing State Rates
L5050,,,2527.66
L5100,,,Prevailing State Rates
L5150,,,Prevailing State Rates
L5301,,,2627
L5321,,,4058.29
L5331,,,Prevailing State Rates
L5450,,,Prevailing State Rates
L5530,,,Prevailing State Rates
L5540,,,2074.68
L5585,,,3984.38
L5590,,,2369.66
L5611,,,Prevailing State Rates
L5618,,,292.93
L5620,,,278.14
L5622,,,Prevailing State Rates
L5624,,,353.18
L5626,,,Prevailing State Rates
L5629,,,297.99
L5630,,,699.05
L5631,,,412
L5632,,,408.63
L5636,,,Prevailing State Rates
L5637,,,279.16
L5643,,,Prevailing State Rates
L5645,,,748.18
L5646,,,Prevailing State Rates
L5647,,,745.9
L5649,,,1887.15
L5650,,,538.14
L5651,,,1126.09
L5652,,,408.82
L5654,,,Prevailing State Rates
L5655,,,Prevailing State Rates
L5656,,,Prevailing State Rates
L5658,,,669.15
L5665,,,Prevailing State Rates
L5668,,,105.21
L5670,,,408.83
L5671,,,621.9
L5673,,,517.34
L5676,,,Prevailing State Rates
L5678,,,Prevailing State Rates
L5679,,,559.72
L5681,,,Prevailing State Rates
L5682,,,Prevailing State Rates
L5683,,,Prevailing State Rates
L5685,,,117.9
L5686,,,Prevailing State Rates
L5688,,,Prevailing State Rates
L5692,,,215.26
L5694,,,332.57
L5700,,,3423.87
L5701,,,4160.74
L5704,,,Prevailing State Rates
L5705,,,1381.83
L5706,,,Prevailing State Rates
L5707,,,Prevailing State Rates
L5781,,,Prevailing State Rates
L5783,,,Prevailing State Rates
L5785,,,Prevailing State Rates
L5812,,,871.22
L5814,,,Prevailing State Rates
L5828,,,3389.41
L5845,,,1649.93
L5848,,,1267.04
L5850,,,119.95
L5856,,,18509
L5910,,,339.61
L5920,,,497.54
L5925,,,408.96
L5926,,,Prevailing State Rates
L5940,,,584.79
L5950,,,840.58
L5960,,,Prevailing State Rates
L5962,,,Prevailing State Rates
L5964,,,1557.27
L5968,,,3345.14
L5971,,,Prevailing State Rates
L5972,,,367.58
L5973,,,Prevailing State Rates
L5974,,,Prevailing State Rates
L5975,,,Prevailing State Rates
L5980,,,Prevailing State Rates
L5981,,,2365.71
L5984,,,677.39
L5986,,,716.96
L5987,,,Prevailing State Rates
L5988,,,Prevailing State Rates
L5990,,,Prevailing State Rates
L5999,,,Cost Invoice
L6110,,,Prevailing State Rates
L6200,,,1749.17
L6205,,,6125.66
L6605,,,Prevailing State Rates
L6615,,,294.99
L6620,,,462.04
L6686,,,917.69
L6688,,,974.92
L6692,,,Prevailing State Rates
L6698,,,Prevailing State Rates
L6704,,,Prevailing State Rates
L6721,,,3186.93
L6805,,,583.8
L6890,,,Prevailing State Rates
L7368,,,Prevailing State Rates
L7400,,,Prevailing State Rates
L7401,,,464.95
L7403,,,Prevailing State Rates
L7404,,,753.16
L7499,,,Cost Invoice
L7510,,,235.37
L7520,,,33.77
L7700,,,Prevailing State Rates
L8000,,,38.7
L8001,,,169.98
L8002,,,223.54
L8010,,,Cost Invoice
L8015,,,84.36
L8020,,,225.91
L8030,,,295.82
L8031,,,Prevailing State Rates
L8032,,,Prevailing State Rates
L8035,,,4964.3
L8400,,,17.41
L8410,,,36.52
L8417,,,69.23
L8420,,,18.81
L8430,,,21.48
L8440,,,39.22
L8460,,,81.83
L8470,,,6.26
L8480,,,11.51
L8500,,,695.45
L8501,,,107.61
L8615,,,Prevailing State Rates
L8616,,,Prevailing State Rates
L8618,,,Prevailing State Rates
L8619,,,Prevailing State Rates
L8623,,,Prevailing State Rates
L8624,,,218.52
L8629,,,Prevailing State Rates
L8681,,,1489.04
L8691,,,2333.52
L8692,,,2351.98
L8694,,,1279.64
L9900,,,Cost Invoice
S1040,,,2308.17
S8120,,,Cost Invoice
T4521,,,Prevailing State Rates
T4522,,,Prevailing State Rates
T4523,,,Prevailing State Rates
T4524,,,Prevailing State Rates
T4525,,,Prevailing State Rates
T4526,,,Prevailing State Rates
T4527,,,Prevailing State Rates
T4528,,,Prevailing State Rates
T4530,,,Prevailing State Rates
T4531,,,Prevailing State Rates
T4532,,,Prevailing State Rates
T4534,,,Prevailing State Rates
T4535,,,Prevailing State Rates
T4536,,,Prevailing State Rates
T4537,,,Prevailing State Rates
T4541,,,Prevailing State Rates
T4543,,,Prevailing State Rates
